FloatShares,Ticker,Price,52 week high,52 week low,avg Daily Volume,50 day Moving Average,200 day moving average,price/eps estimate this year,price/eps estimate next year,Short Ratio
23084000,FLWS_nasdaq,7.09,2.77,7.15,188149,6.1826,5.2115,32.23,26.26,4.4
6312000,FCTY_nasdaq,6.25,4.5,6.45,7205,5.9497,5.547,7.44,16.45,2.4
4276000,FCCY_nasdaq,9.63,7.55,9.89,3863,9.3749,9.0082,10.14,9.17,0.8
6662000,SRCE_nasdaq,27.24,19.7,28.82,28449,24.9349,23.7718,N/A,N/A,6.7
23951000,FUBC_nasdaq,7.49,5.3,7.6,57052,6.8869,6.494,28.81,20.24,9.1
43159000,VNET_nasdaq,13.09,8.39,13.41,375549,11.4186,9.9549,29.09,17.93,5.6
N/A,SSRX_nasdaq,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
9718000,JOBS_nasdaq,65.6,34,68.5,77148,63.2657,58.4502,23.43,19.29,1.8
63846000,EGHT_nasdaq,8.77,4.83,9,702700,8.3063,7.4039,33.73,25.79,6.7
4772000,AVHI_nasdaq,16.43,11.34,18.26,42110,15.8983,14.3771,N/A,N/A,13.5
28683000,SHLM_nasdaq,28.53,20.57,33.4,156343,27.5597,29.3733,16.12,13.33,4.5
27983000,AAON_nasdaq,23.98,11.7,26.91,121019,22.5539,18.7381,27.25,23.51,6.9
44209000,ASTM_nasdaq,0.3934,0.34,2.09,281489,0.4589,0.8694,N/A,N/A,13.5
21002000,ABAX_nasdaq,50,33.28,51.84,125662,47.2589,44.5398,47.17,38.17,22.9
31550000,ABMD_nasdaq,24.35,11.8,24.64,354092,22.0723,18.1711,76.09,41.27,13.6
78737000,AXAS_nasdaq,2.43,1.56,2.69,536368,2.2306,2.2266,22.09,12.79,13.6
44120000,ACTG_nasdaq,24.75,19.86,33.38,723598,24.1051,26.0815,13.83,10.67,4.8
35880000,ACHC_nasdaq,35.13,15.08,36,377533,34.2243,30.0944,34.11,26.41,11.7
49340000,ACAD_nasdaq,20.12,1.42,20.68,3624560,17.9817,10.9736,N/A,N/A,2
28772000,ACST_nasdaq,3.38,1.61,3.99,18002,2.8649,2.5225,N/A,N/A,3.3
19015000,AXDX_nasdaq,8.26,2.75,9.22,86756,8.3471,6.5021,N/A,N/A,7
49418000,ACCL_nasdaq,8.81,7.59,9.98,192406,8.4206,9.1246,27.53,23.81,6.6
6451000,ANCX_nasdaq,15.02,10.9,18.07,30832,13.2143,14.0876,13.18,14.73,8.5
63271000,ARAY_nasdaq,6.23,3.76,7.44,907684,5.716,5.0176,N/A,N/A,20
0,ACRX_nasdaq,12.48,2.27,13.28,591321,10.0403,6.6746,N/A,N/A,3.8
25824000,ACET_nasdaq,15.13,8.25,15.23,146924,13.6397,11.4117,17.19,14.98,2.3
76302000,ACHN_nasdaq,7.07,5.42,11.36,1332740,7.5206,8.1612,N/A,N/A,10.7
39310000,ACIW_nasdaq,47.47,36.51,51.88,236459,45.8657,46.337,20.37,15.21,13.9
5818000,ACNB_nasdaq,17.74,14.06,17.74,2987,16.6963,16.6075,N/A,N/A,1.7
39261000,ACOR_nasdaq,37.89,21.33,40.87,382683,34.7837,32.4238,157.88,44.06,9.6
15568000,ACFN_nasdaq,9.5,6.16,11,85622,8.6017,7.7023,N/A,N/A,35.8
62948000,ACTS_nasdaq,2.77,1.46,3.4,87694,2.9337,2.6277,N/A,N/A,0.6
13565000,ACPW_nasdaq,4.08,2.9,4.98,58987,4.2383,4.3535,136,12,2.8
427750000,ATVI_nasdaq,15.58,10.45,16.11,7562490,14.5197,13.9862,18.33,15.27,0.7
43446000,BIRT_nasdaq,7.45,4.97,7.47,181275,6.8617,6.2395,19.1,16.2,5.1
19651000,ACUR_nasdaq,1.99,1.06,4.5,573568,2.0531,2.21,N/A,16.58,2.6
73390000,ACXM_nasdaq,25.64,15.38,26.47,401392,23.4837,20.3315,33.74,28.81,5.3
9071000,ADES_nasdaq,42.22,13.88,43.88,85506,39.8026,29.4075,63.01,12.27,4.3
5745000,ADUS_nasdaq,20.6,4.06,23.71,175465,19.6109,13.1906,23.15,20.4,1.6
4995000,AEY_nasdaq,2.3299,1.87,2.49,15952,2.2623,2.2507,N/A,N/A,0.4
8497000,ADEP_nasdaq,3.49,2.38,4.69,48751,3.6829,3.4151,N/A,N/A,1.6
469001000,ADBE_nasdaq,48.19,29.81,48.63,3519820,45.3949,42.5212,33.23,28.02,1.6
58770000,ADTN_nasdaq,26.41,15.38,26.66,859075,24.3651,21.9396,37.73,27.23,11.1
36174000,AEIS_nasdaq,22.07,10.8,22.4,360360,18.7694,17.709,22.99,13.3,4.7
32535000,ADVS_nasdaq,29,20.85,36.21,265022,32.5663,28.4302,24.37,22.31,4.4
24382000,AEGR_nasdaq,78.59,12.87,80.46,705470,70.3092,45.5841,N/A,130.98,3.6
37267000,AEGN_nasdaq,24.47,16.96,26.1,211090,23.1754,23.0683,14.83,11.33,17.8
8003000,AEHR_nasdaq,1.9,0.66,2.05,16003,1.4597,1.1256,N/A,N/A,1.3
3351000,AEPI_nasdaq,77.62,44.6,85.8,27149,74.3183,71.6542,40.64,32.48,6.2
18852000,AVAV_nasdaq,22.94,16.98,24.88,232505,20.3031,20.3742,57.35,45.88,6.8
23451000,AEZS_nasdaq,1.875,1.7,5.64,187981,1.9011,2.1524,N/A,N/A,5.1
