FloatShares,Ticker,Price,52 week high,52 week low,avg Daily Volume,50 day Moving Average,200 day moving average,price/eps estimate this year,price/eps estimate next year,Short Ratio
    23152000,FLWS_nasdaq,5.18,2.77,7.17,137644,6.0974,5.8296,18.50,15.24,7.20
     6328000,FCTY_nasdaq,7.50,4.50,8.46,16238,7.4117,6.2289,N/A,19.23,1.50
     4248000,FCCY_nasdaq,10.39,7.55,11.33,3472,9.9094,9.2771,10.60,9.90,2.00
    13301000,SRCE_nasdaq,26.50,19.70,28.82,32666,26.9854,24.953,N/A,N/A,6.50
    23949000,FUBC_nasdaq,7.33,5.30,8.25,49941,7.4774,6.8194,31.87,19.81,11.20
    44275000,VNET_nasdaq,15.32,8.39,16.37,424833,13.9111,11.0503,56.74,28.37,5.60
N/A,SSRX_nasdaq,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
     9978000,JOBS_nasdaq,66.56,42.00,70.15,54708,66.6003,61.874,25.90,22.41,4.60
    67607000,EGHT_nasdaq,9.64,5.62,9.99,661255,9.3746,8.0139,35.70,28.35,8.50
     6154000,AVHI_nasdaq,15.89,11.34,18.26,62780,16.164,14.8304,N/A,N/A,16.10
    28683000,SHLM_nasdaq,27.75,23.05,33.40,118061,27.286,28.2486,16.13,13.34,4.20
    27975000,AAON_nasdaq,25.04,12.2267,26.91,117095,24.0443,21.1115,26.36,22.76,7.40
    29760000,ASTM_nasdaq,0.31,0.27,1.80,1253750,0.3689,0.6104,N/A,N/A,2.20
    21038000,ABAX_nasdaq,40.94,33.28,51.84,120462,40.594,44.6902,44.99,33.02,11.40
    31296000,ABMD_nasdaq,22.68,11.80,25.25,317311,23.196,20.8271,189.00,39.10,13.10
    78709000,AXAS_nasdaq,2.61,1.56,2.72,667166,2.5486,2.3267,18.64,9.00,10.40
    48576000,ACTG_nasdaq,22.84,19.86,32.59,612544,22.4671,24.8788,14.93,9.14,4.20
    36798000,ACHC_nasdaq,39.19,18.53,39.94,285770,37.774,33.3115,38.05,29.03,20.70
    62074000,ACAD_nasdaq,22.71,1.80,23.49,2328730,20.616,15.0028,N/A,N/A,4.00
    28943000,ACST_nasdaq,2.82,1.61,4.20,54700,3.2074,2.7389,N/A,N/A,2.30
    16917000,AXDX_nasdaq,9.65,2.81,10.60,98466,8.8091,7.6669,N/A,N/A,23.00
    48588000,ACCL_nasdaq,9.16,7.75,9.98,121500,9.112,9.0279,28.62,24.76,7.50
     6432000,ANCX_nasdaq,14.49,10.90,18.07,34453,15.01,14.0853,11.88,13.93,10.80
    63129000,ARAY_nasdaq,6.85,3.76,7.44,1073430,6.2989,5.3821,N/A,N/A,12.50
     1130000,ACRX_nasdaq,10.55,2.27,13.50,589842,10.5711,8.2266,N/A,N/A,4.70
    26495000,ACET_nasdaq,14.53,8.95,17.29,187581,15.6346,12.8694,14.11,12.21,1.80
    68420000,ACHN_nasdaq,7.18,6.12,11.36,1273310,6.83,7.5209,N/A,N/A,15.20
    39004000,ACIW_nasdaq,51.33,37.97,52.03,323452,49.2257,46.9762,24.56,18.07,13.00
     5830000,ACNB_nasdaq,16.82,14.80,17.74,3605,17.138,16.8037,N/A,N/A,0.70
    39281000,ACOR_nasdaq,37.15,22.37,40.87,294691,35.6043,34.3306,137.59,50.89,8.90
    15250000,ACFN_nasdaq,5.97,5.75,11.00,112727,6.7743,7.5537,N/A,N/A,26.20
    63274000,ACTS_nasdaq,2.62,1.46,3.40,46156,2.6863,2.8051,N/A,N/A,0.20
    15117000,ACPW_nasdaq,2.91,2.82,4.98,108569,3.4991,4.1505,N/A,N/A,2.30
   429569000,ATVI_nasdaq,16.90,10.45,18.43,7027800,17.1863,15.2995,18.99,13.31,1.10
    44060000,BIRT_nasdaq,7.35,4.97,7.65,176123,7.268,6.6414,19.34,17.50,3.10
    19805000,ACUR_nasdaq,1.49,1.06,4.50,393164,1.7103,2.0937,N/A,N/A,2.40
    73018000,ACXM_nasdaq,26.18,16.19,26.47,400650,25.4903,22.3439,34.91,33.14,4.90
     9103000,ADES_nasdaq,40.39,13.88,44.62,77730,40.4631,34.4409,807.80,11.44,5.60
     5762000,ADUS_nasdaq,23.60,5.00,24.99,166094,21.5511,16.7406,25.11,22.91,2.40
     4588000,AEY_nasdaq,2.50,1.87,2.92,22492,2.5014,2.3405,N/A,N/A,0.30
