"FLWS_nasdaq","Florists"
"AMWD_nasdaq","Kitchen Cabinets"
"CRMT_nasdaq","Used Car Dealers"
"ABCB_nasdaq","Banks - NEC"
"AMSF_nasdaq","Life Insurance"
"ASRV_nasdaq","Retail &amp; Mortgage Banks"
"ASCA_nasdaq","Casinos"
"ATLO_nasdaq","Banks - NEC"
"AMGN_nasdaq","Biotechnology &amp; Medical Research - NEC"
"FOLD_nasdaq","Bio Therapeutic Drugs"
"AMKR_nasdaq","Semiconductor Equipment &amp; Testing - NEC"
"AMPE_nasdaq","Bio Therapeutic Drugs"
"AMSG_nasdaq","Hospitals, Clinics &amp; Primary Care Services"
"ASYS_nasdaq","Industrial Machinery"
"AFSI_nasdaq","Property Insurance"
"AMRS_nasdaq","Industrial Biotechnology Chemicals"
"ANAC_nasdaq","Biopharmaceuticals"
"ANAD_nasdaq","Integrated Circuits"
"ADI_nasdaq","Semiconductors - NEC"
"ALOG_nasdaq","Medical Imaging Systems"
"ANLY_nasdaq","Outsourcing &amp; Staffing Services"
"ANEN_nasdaq","Aerospace &amp; Defense - NEC"
"ANCB_nasdaq","Commercial Banks"
"AMCF_nasdaq","Oil &amp; Gas Refining and Marketing - NEC"
"ANDAU_nasdaq","Shell Companies"
"ANGI_nasdaq","Search Engines"
"ANGO_nasdaq","Medical Supplies"
"ANIK_nasdaq","Biotechnology &amp; Medical Research - NEC"
"ANSS_nasdaq","Application Software"
"ATRS_nasdaq","Medical Equipment, Supplies &amp; Distribution - NEC"
"ANTH_nasdaq","Biopharmaceuticals"
"APAGF_nasdaq","Oil &amp; Gas Exploration and Production - NEC"
"ATNY_nasdaq","Industrial Machinery &amp; Equipment - NEC"
"APOG_nasdaq","Construction Supplies &amp; Fixtures - NEC"
"APOL_nasdaq","General Education Services"
"AINV_nasdaq","Closed End Funds"
"AAPL_nasdaq","Computer Hardware - NEC"
"ARCI_nasdaq","Furniture Retailers"
"AMAT_nasdaq","Semiconductor Machinery Manufacturing"
"AMCC_nasdaq","Semiconductors - NEC"
"AREX_nasdaq","Oil &amp; Gas Exploration and Production - NEC"
"APRI_nasdaq","Pharmaceuticals - NEC"
"AQUUU_nasdaq","Investment Trusts"
"ARCW_nasdaq","Integrated Telecommunications Services - NEC"
"ABIO_nasdaq","Biopharmaceuticals"
"ACGL_nasdaq","Property &amp; Casualty Insurance - NEC"
"ACAT_nasdaq","Automobiles &amp; Multi Utility Vehicles"
"ARDNA_nasdaq","Supermarkets &amp; Convenience Stores"
"ARNA_nasdaq","Biotechnology &amp; Medical Research - NEC"
"ARCC_nasdaq","Closed End Funds"
"AGII_nasdaq","Property &amp; Casualty Insurance - NEC"
"ARIA_nasdaq","Biopharmaceuticals"
"ARKR_nasdaq","Restaurants &amp; Bars - NEC"
"ABFS_nasdaq","Tire Retreading"
"ARMH_nasdaq","Processors"
"ARTX_nasdaq","Batteries &amp; Uninterruptable Power supplies"
"ARQL_nasdaq","Biotechnology &amp; Medical Research - NEC"
"ARRY_nasdaq","Bio Therapeutic Drugs"
"AROW_nasdaq","Banks - NEC"
"ARWR_nasdaq","Bio Therapeutic Drugs"
"ARTNA_nasdaq","Water Supply &amp; Irrigation Systems"
"ARTC_nasdaq","Advanced Medical Equipment &amp; Technology - NEC"
"ARTW_nasdaq","Agricultural Machinery"
"ARUN_nasdaq","Network Equipment"
"ASBB_nasdaq","Banks - NEC"
"ASNA_nasdaq","Apparel &amp; Accessories Retailers - NEC"
"ASCMA_nasdaq","Security Services"
"ASTI_nasdaq","Photovoltaic Solar Systems &amp; Equipment"
