"FLWS_nasdaq","Florists"
"ICFI_nasdaq","Business Support Services - NEC"
"ICGE_nasdaq","IT Services &amp; Consulting - NEC"
"ICON_nasdaq","Apparel &amp; Accessories - NEC"
"ICUI_nasdaq","Medical Equipment, Supplies &amp; Distribution - NEC"
"IDIX_nasdaq","Biopharmaceuticals"
"INVE_nasdaq","Computer Peripherals"
"IDRA_nasdaq","Biotechnology &amp; Medical Research - NEC"
"IDXX_nasdaq","Veterinary Medical Equipment &amp; Supplies"
"IROQ_nasdaq","Commercial Banks"
"IGTE_nasdaq","IT Services &amp; Consulting - NEC"
"IRG_nasdaq","Restaurants &amp; Bars - NEC"
"IGOI_nasdaq","Computer Peripherals"
"IIVI_nasdaq","Electrical Components &amp; Equipment - NEC"
"IKAN_nasdaq","Phones &amp; Smart Phones"
"IKNX_nasdaq","Specialty Chemicals - NEC"
"ILMN_nasdaq","Advanced Medical Equipment &amp; Technology - NEC"
"ISNS_nasdaq","Testing &amp; Measuring Equipment"
"IMMR_nasdaq","Computer Peripherals"
"ICCC_nasdaq","Biotechnology &amp; Medical Research - NEC"
"IMGN_nasdaq","Biotechnology &amp; Medical Research - NEC"
"IMMU_nasdaq","Biotechnology &amp; Medical Research - NEC"
"IPXL_nasdaq","Pharmaceuticals - NEC"
"IMMY_nasdaq","Bio Therapeutic Drugs"
"IMRS_nasdaq","Advanced Medical Equipment &amp; Technology - NEC"
"SAAS_nasdaq","Cloud Computing Services"
"INCY_nasdaq","Biotechnology &amp; Medical Research - NEC"
"INDB_nasdaq","Commercial Banks"
"IBCP_nasdaq","Banks - NEC"
"IBTX_nasdaq","Commercial Banks"
"IDSA_nasdaq","Waste Management, Disposal &amp; Recycling Services"
"INFN_nasdaq","Network Equipment"
"INXBU_nasdaq","Shell Companies"
"INFI_nasdaq","Biotechnology &amp; Medical Research - NEC"
"IPCC_nasdaq","Insurance - Automobile"
"INFA_nasdaq","IT Services &amp; Consulting - NEC"
"III_nasdaq","Business Support Services - NEC"
"IFON_nasdaq","Phones &amp; Handheld Devices - NEC"
"IMKTA_nasdaq","Supermarkets &amp; Convenience Stores"
"INWK_nasdaq","Commercial Printing Services - NEC"
"INOD_nasdaq","IT Services &amp; Consulting - NEC"
"IPHS_nasdaq","Commodity Chemicals - NEC"
"IOSP_nasdaq","Specialty Chemicals - NEC"
"INOC_nasdaq","Phones &amp; Smart Phones"
"ISSC_nasdaq","Aircraft Parts Manufacturing - NEC"
"NSIT_nasdaq","IT Services &amp; Consulting - NEC"
"ISIG_nasdaq","Advertising Agency"
"INSM_nasdaq","Bio Therapeutic Drugs"
"IIIN_nasdaq","Wires &amp; Cables"
"PODD_nasdaq","Medical Prosthetics"
"IART_nasdaq","Medical Equipment, Supplies &amp; Distribution - NEC"
"IDTI_nasdaq","Semiconductors - NEC"
"IESC_nasdaq","Construction &amp; Engineering - NEC"
"ISSI_nasdaq","Semiconductors - NEC"
"INTC_nasdaq","Semiconductors - NEC"
"IPCI_nasdaq","Pharmaceuticals - NEC"
"IPAR_nasdaq","Cosmetics &amp; Perfumes"
"IBKR_nasdaq","Financial &amp; Commodity Market Operators - NEC"
"ININ_nasdaq","Application Software"
"ICPT_nasdaq","Bio Therapeutic Drugs"
"IDCC_nasdaq","Communications &amp; Networking - NEC"
"IMI_nasdaq","Semiconductors - NEC"
"IMCB_nasdaq","Banks - NEC"
"ITMN_nasdaq","Biotechnology &amp; Medical Research - NEC"
"INAP_nasdaq","IT Services &amp; Consulting - NEC"
"IBOC_nasdaq","Banks - NEC"
"ISCA_nasdaq","Professional Sports Venues"
"IGLD_nasdaq","Integrated Telecommunications Services - NEC"
"IIJI_nasdaq","Internet Service Providers"
"PTNT_nasdaq","Insurance Brokers"
"INPH_nasdaq","Broadcasting Equipment"
"INTX_nasdaq","Business Support Supplies - NEC"
"ISIL_nasdaq","Semiconductors - NEC"
"IILG_nasdaq","Leisure &amp; Recreation - NEC"
"IBCA_nasdaq","Commercial Banks"
"INTT_nasdaq","Testing &amp; Measuring Equipment"
"IVAC_nasdaq","Industrial Machinery"
"INTL_nasdaq","Corporate Financial Services - NEC"
"IIN_nasdaq","Industrial Process Furnace &amp; Ovens"
"INTU_nasdaq","Enterprise Software"
"ISRG_nasdaq","Advanced Medical Equipment &amp; Technology - NEC"
"SNAK_nasdaq","Food Processing - NEC"
"ISBC_nasdaq","Retail &amp; Mortgage Banks"
"ITIC_nasdaq","Property &amp; Casualty Insurance - NEC"
"IPAS_nasdaq","Wi-Fi &amp; Wi-Max Providers"
"IPCM_nasdaq","Ambulance &amp; Emergency Services"
"IPGP_nasdaq","Electronic Component"
"IRIX_nasdaq","Advanced Medical Equipment &amp; Technology - NEC"
"IRDM_nasdaq","Satellite Service Operators"
"IRBT_nasdaq","Advanced Electronic Equipment"
"IRWD_nasdaq","Biotechnology &amp; Medical Research - NEC"
"IFNA_nasdaq","Exchange Traded Funds - NEC"
"SOXX_nasdaq","Investment Trusts"
"AXFN_nasdaq","Exchange Traded Funds - NEC"
"ACWI_nasdaq","Investment Trusts"
"AAXJ_nasdaq","Exchange Traded Funds - NEC"
"EMFN_nasdaq","Exchange Traded Funds - NEC"
"EMMT_nasdaq","Exchange Traded Funds - NEC"
"EUFN_nasdaq","Exchange Traded Funds - NEC"
"FEFN_nasdaq","Exchange Traded Funds - NEC"
"IBB_nasdaq","Exchange Traded Funds - NEC"
"EMIF_nasdaq","Exchange Traded Funds - NEC"
"ICLN_nasdaq","Exchange Traded Funds - NEC"
"NUCL_nasdaq","Exchange Traded Funds - NEC"
"WOOD_nasdaq","Exchange Traded Funds - NEC"
"INDY_nasdaq","Investment Trusts"
"ISHG_nasdaq","Exchange Traded Funds - NEC"
"IGOV_nasdaq","Exchange Traded Funds - NEC"
"ISIS_nasdaq","Biotechnology &amp; Medical Research - NEC"
"ISLE_nasdaq","Casinos &amp; Gaming - NEC"
"ISRL_nasdaq","Oil &amp; Gas Exploration and Production - NEC"
"ITRI_nasdaq","Electrical Components &amp; Equipment - NEC"
"ITRN_nasdaq","Business Support Services - NEC"
"IVAN_nasdaq","Oil &amp; Gas Exploration and Production - NEC"
"XXIA_nasdaq","Communications &amp; Networking - NEC"
"IXYS_nasdaq","Integrated Circuits"
"JJSF_nasdaq","Snack Food &amp; Non-chocolate Confectionary"
"MAYS_nasdaq","Real Estate Development &amp; Operations - NEC"
"JBHT_nasdaq","Freight Trucking"
"JCOM_nasdaq","Wired Telecommunications Carriers"
"JASO_nasdaq","Renewable Energy Equipment &amp; Services - NEC"
"JKHY_nasdaq","IT Services &amp; Consulting - NEC"
"JACK_nasdaq","Quick Service Restaurants"
"JXSB_nasdaq","Banks - NEC"
"JAXB_nasdaq","Commercial Banks"
"JAKK_nasdaq","Games, Toys &amp; Children Vehicles"
"JMBA_nasdaq","Quick Service Restaurants"
"JRCC_nasdaq","Coal - NEC"
"JDSU_nasdaq","Communications &amp; Networking - NEC"
"JFBI_nasdaq","Banks - NEC"
"JBLU_nasdaq","Airlines - NEC"
"JCTCF_nasdaq","Wood Products"
"DATE_nasdaq","Social Media &amp; Networking"
"JST_nasdaq","Portable Motors &amp; Generators"
"JIVE_nasdaq","Social Media &amp; Networking"
"JOEZ_nasdaq","Apparel &amp; Accessories - NEC"
"JBSS_nasdaq","Chocolate &amp; Confectionery"
"JOUT_nasdaq","Sporting &amp; Outdoor Goods"
"JOSB_nasdaq","Apparel &amp; Accessories Retailers - NEC"
"TAX_nasdaq","Corporate Accounting Services"
"KALU_nasdaq","Primary Aluminum Production"
"KBIO_nasdaq","Bio Therapeutic Drugs"
"KNDI_nasdaq","Auto &amp; Truck Manufacturers - NEC"
"KCLI_nasdaq","Life Insurance"
"KYAK_nasdaq","Leisure &amp; Recreation - NEC"
"KCAP_nasdaq","Closed End Funds"
"KRNY_nasdaq","Commercial Banks"
"KIPO_nasdaq","Closed End Funds"
"KELYA_nasdaq","Outsourcing &amp; Staffing Services"
"KELYB_nasdaq","Outsourcing &amp; Staffing Services"
"KFFB_nasdaq","Banks - NEC"
"KERX_nasdaq","Bio Therapeutic Drugs"
"KEQU_nasdaq","Medical Equipment, Supplies &amp; Distribution - NEC"
"KTEC_nasdaq","Industrial Machinery"
"KTCC_nasdaq","Computer Hardware - NEC"
"KEYN_nasdaq","IT Services &amp; Consulting - NEC"
"KFRC_nasdaq","Employment Services - NEC"
"KBALB_nasdaq","Furniture"
"KGJI_nasdaq","Jewelry"
"KINS_nasdaq","Insurance Brokers"
"KONE_nasdaq","Software - NEC"
"KIOR_nasdaq","Biodiesel"
"KIPS_nasdaq","Advanced Medical Equipment &amp; Technology - NEC"
"KIRK_nasdaq","Gift, Novelty &amp; Souvenir Stores"
"KLAC_nasdaq","Semiconductor Testing Equipment &amp; Service"
"VLCCF_nasdaq","Inland Water Freight"
"KONA_nasdaq","Commercial Food Services"
"KONG_nasdaq","Wireless Telecommunications Services - NEC"
"KOPN_nasdaq","Semiconductors - NEC"
"KOSS_nasdaq","Home Audio"
"KRFT_nasdaq","Food Processing - NEC"
"KTOS_nasdaq","Aerospace &amp; Defense - NEC"
"KSWS_nasdaq","Apparel &amp; Accessories - NEC"
"KUTV_nasdaq","IT Services &amp; Consulting - NEC"
"KLIC_nasdaq","Semiconductor Equipment &amp; Testing - NEC"
"KVHI_nasdaq","Broadcasting Equipment"
"KYTH_nasdaq","Bio Therapeutic Drugs"
"LLEN_nasdaq","Coal - NEC"
"FSTR_nasdaq","Steel - NEC"
"LSBK_nasdaq","Banks - NEC"
"LBAI_nasdaq","Commercial Banks"
"LKFN_nasdaq","Banks - NEC"
"LAKE_nasdaq","Apparel &amp; Accessories - NEC"
"LACO_nasdaq","Casinos &amp; Gaming - NEC"
"LRCX_nasdaq","Semiconductor Equipment &amp; Testing - NEC"
"LAMR_nasdaq","Outdoor Advertising"
"LANC_nasdaq","Food Ingredients"
"LNDC_nasdaq","Agriculture Support Services"
"LARK_nasdaq","Commercial Banks"
"LSTR_nasdaq","Freight Trucking"
"LTRX_nasdaq","Communications &amp; Networking - NEC"
"LSCC_nasdaq","Semiconductors - NEC"
"LAWS_nasdaq","Industrial Machinery &amp; Equipment Wholesale"
"LAYN_nasdaq","Water &amp; Sewage Construction"
"LCAV_nasdaq","Hospitals, Clinics &amp; Primary Care Services"
"LCNB_nasdaq","Commercial Banks"
"GAGA_nasdaq","Vegetable, Fruit &amp; Nut Farming"
"LBIX_nasdaq","Non-Paper Containers &amp; Packaging - NEC"
"LEAP_nasdaq","Wireless Telecom"
"LTRE_nasdaq","Educational Services"
"LGCY_nasdaq","Oil &amp; Gas Exploration and Production - NEC"
"LMAT_nasdaq","Advanced Medical Equipment &amp; Technology - NEC"
"LXRX_nasdaq","Bio Therapeutic Drugs"
"LHCG_nasdaq","Ambulance &amp; Emergency Services"
"LINTA_nasdaq","Broadcasting - NEC"
"LINTB_nasdaq","Broadcasting - NEC"
"LVNTA_nasdaq","Broadcasting - NEC"
"LVNTB_nasdaq","Broadcasting - NEC"
"LMCA_nasdaq","Broadcasting - NEC"
"LMCB_nasdaq","Broadcasting - NEC"
"LPHI_nasdaq","Life Insurance"
"LIFE_nasdaq","Biotechnology &amp; Medical Research - NEC"
"LPNT_nasdaq","Healthcare Facilities &amp; Services - NEC"
"LCUT_nasdaq","Tools &amp; Housewares"
"LFVN_nasdaq","Special Foods &amp; Welbeing Products"
"LWAY_nasdaq","Dairy Products"
"LGND_nasdaq","Biotechnology &amp; Medical Research - NEC"
"LTBR_nasdaq","Design Services"
"LPTH_nasdaq","Glasses, Spectacles &amp; Contact lenses"
"LIWA_nasdaq","Electrical Components &amp; Equipment - NEC"
"LIME_nasdaq","Switchgear"
"LLNW_nasdaq","IT Services &amp; Consulting - NEC"
"LMNR_nasdaq","Agriculture Support Services"
"LINC_nasdaq","General Education Services"
"LECO_nasdaq","Welding &amp; Soldering Equipment"
"LLTC_nasdaq","Semiconductors - NEC"
"LTON_nasdaq","Wireless Telecommunications Services - NEC"
"LNCO_nasdaq","Oil &amp; Gas Exploration and Production - NEC"
"LINE_nasdaq","Oil &amp; Gas Exploration and Production - NEC"
"LIOX_nasdaq","Business Support Services - NEC"
"LPDX_nasdaq","Diagnostic &amp; Testing Substances Manufacturers"
"LQDT_nasdaq","IT Services &amp; Consulting - NEC"
"LFUS_nasdaq","Switchgear"
"LIVE_nasdaq","Internet Services - NEC"
"LPSN_nasdaq","IT Services &amp; Consulting - NEC"
"JADE_nasdaq","Jewelry"
"LKQ_nasdaq","Auto &amp; Truck Parts Wholesale"
"LMIA_nasdaq","Aircraft Parts Manufacturing - NEC"
"LNBB_nasdaq","Commercial Banks"
"LOCM_nasdaq","Internet Services - NEC"
"LOGI_nasdaq","Computer Hardware - NEC"
"LOGM_nasdaq","IT Services &amp; Consulting - NEC"
"LOJN_nasdaq","Communications &amp; Networking - NEC"
"LOOK_nasdaq","E-commerce &amp; Auction Services"
"LORL_nasdaq","Satellite Systems &amp; Accessories"
"LABC_nasdaq","Banks - NEC"
"LPTN_nasdaq","Bio Therapeutic Drugs"
"LPLA_nasdaq","Investment Banking &amp; Brokerage Services - NEC"
"LRAD_nasdaq","Broadcasting Equipment"
"LSBI_nasdaq","Retail &amp; Mortgage Banks"
"LSI_nasdaq","Semiconductors - NEC"
"LYTS_nasdaq","Lighting Fixtures"
"LTXC_nasdaq","Testing &amp; Measuring Equipment"
"LUFK_nasdaq","Oil Related Equipment"
"LULU_nasdaq","Apparel &amp; Accessories - NEC"
"LMNX_nasdaq","Advanced Medical Equipment &amp; Technology - NEC"
"LMOS_nasdaq","Wireless Telecom"
"LUNA_nasdaq","Advanced Medical Equipment &amp; Technology - NEC"
"MBTF_nasdaq","Commercial Banks"
"MTSI_nasdaq","Semiconductor Equipment &amp; Testing - NEC"
"MCBC_nasdaq","Commercial Banks"
"MFNC_nasdaq","Commercial Banks"
"MCBK_nasdaq","Commercial Banks"
"MAGS_nasdaq","Business Support Services - NEC"
"MGLN_nasdaq","Managed Health Care - NEC"
"MPET_nasdaq","Oil &amp; Gas Exploration and Production - NEC"
"MGIC_nasdaq","Software - NEC"
"CALL_nasdaq","VOIP Equipment &amp; Systems"
"MNGA_nasdaq","Hydrogen Fuel"
"MAG_nasdaq","Electrical Components &amp; Equipment - NEC"
"MGYR_nasdaq","Banks - NEC"
"MHLD_nasdaq","Property &amp; Casualty Reinsurance"
"MSFG_nasdaq","Banks - NEC"
"COOL_nasdaq","Toys &amp; Juvenile Products - NEC"
"MMUS_nasdaq","Software - NEC"
"MMYT_nasdaq","Search Engines"
"MAKO_nasdaq","Medical Equipment, Supplies &amp; Distribution - NEC"
"MANH_nasdaq","IT Services &amp; Consulting - NEC"
"LOAN_nasdaq","Book Publishing"
"MNTX_nasdaq","Industrial Machinery"
"MTEX_nasdaq","Special Foods &amp; Welbeing Products"
"MNKD_nasdaq","Bio Therapeutic Drugs"
"MANT_nasdaq","IT Services &amp; Consulting - NEC"
"MCHX_nasdaq","Advertising &amp; Marketing - NEC"
"MARPS_nasdaq","Investment Trusts"
"LEDR_nasdaq","Real Estate Services - NEC"
"MKTX_nasdaq","Financial &amp; Commodity Market Operators - NEC"
"MRLN_nasdaq","Banks - NEC"
"MRTN_nasdaq","Freight Trucking"
"MMLP_nasdaq","Inland Water Freight"
"MRVL_nasdaq","Semiconductors - NEC"
"MASI_nasdaq","Medical Equipment"
"MASC_nasdaq","Steel - NEC"
"MTRX_nasdaq","Oil Related Services and Equipment - NEC"
"MAT_nasdaq","Toys &amp; Juvenile Products - NEC"
"MATW_nasdaq","Personal Products - NEC"
"MFRM_nasdaq","Soft Furnishing Retailers"
"MTSN_nasdaq","Industrial Machinery"
"MXIM_nasdaq","Semiconductors - NEC"
"MXWL_nasdaq","Electronic Component"
"MAXY_nasdaq","Bio Therapeutic Drugs"
"MFLR_nasdaq","Banks - NEC"
"MBFI_nasdaq","Commercial Banks"
"MCGC_nasdaq","Closed End Funds"
"MGRC_nasdaq","Real Estate Development &amp; Operations - NEC"
"MDCA_nasdaq","Advertising &amp; Marketing - NEC"
"MEAD_nasdaq","Glasses, Spectacles &amp; Contact lenses"
"MEAS_nasdaq","Testing &amp; Measuring Equipment"
"MCOX_nasdaq","Apparel &amp; Accessories Retailers - NEC"
"TAXI_nasdaq","Commercial Loans"
"MDAS_nasdaq","IT Services &amp; Consulting - NEC"
"MDCI_nasdaq","Medical Equipment, Supplies &amp; Distribution - NEC"
"MNOV_nasdaq","Bio Therapeutic Drugs"
"MDSO_nasdaq","IT Services &amp; Consulting - NEC"
"MDVN_nasdaq","Bio Therapeutic Drugs"
"MEIP_nasdaq","Bio Therapeutic Drugs"
"MELA_nasdaq","Advanced Medical Equipment &amp; Technology - NEC"
"MPEL_nasdaq","Casinos &amp; Gaming - NEC"
"MLNX_nasdaq","Semiconductors - NEC"
"MEMP_nasdaq","Oil &amp; Gas Exploration and Production - NEC"
"MEMS_nasdaq","Semiconductors - NEC"
"MENT_nasdaq","Semiconductors - NEC"
"MTSL_nasdaq","IT Services &amp; Consulting - NEC"
"MELI_nasdaq","E-commerce &amp; Auction Services"
"MBWM_nasdaq","Commercial Banks"
"MERC_nasdaq","Paper Products - NEC"
"MBVT_nasdaq","Commercial Banks"
"MRCY_nasdaq","Software - NEC"
"MRGE_nasdaq","Advanced Medical Equipment &amp; Technology - NEC"
"VIVO_nasdaq","Medical Equipment, Supplies &amp; Distribution - NEC"
"EBSB_nasdaq","Banks - NEC"
"MMSI_nasdaq","Medical Equipment Wholesale"
"MACK_nasdaq","Biopharmaceuticals"
"MERU_nasdaq","Wireless Telecommunications Services - NEC"
"MSLI_nasdaq","Generic Pharmaceuticals"
"MLAB_nasdaq","Testing &amp; Measuring Equipment"
"CASH_nasdaq","Retail &amp; Mortgage Banks"
"MBLX_nasdaq","Specialty Chemicals - NEC"
"MEOH_nasdaq","Commodity Chemicals - NEC"
"METR_nasdaq","Commercial Banks"
"MCBI_nasdaq","Banks - NEC"
"MFRI_nasdaq","Purification &amp; Treatment Equipment"
"MGCD_nasdaq","Advanced Medical Equipment &amp; Technology - NEC"
"MGEE_nasdaq","Electric Utilities - NEC"
"MGPI_nasdaq","Food Processing - NEC"
"MCRL_nasdaq","Semiconductors - NEC"
"MCHP_nasdaq","Semiconductors - NEC"
"MFI_nasdaq","Corporate Financial Services - NEC"
"MU_nasdaq","Semiconductors - NEC"
"MICT_nasdaq","Aerospace &amp; Defense - NEC"
"MCRS_nasdaq","IT Services &amp; Consulting - NEC"
"MSCC_nasdaq","Semiconductors - NEC"
"MSFT_nasdaq","Software - NEC"
"MSTR_nasdaq","Enterprise Software"
"MVIS_nasdaq","Display Screens"
"MPB_nasdaq","Banks - NEC"
"MCEP_nasdaq","Oil &amp; Gas Exploration and Production - NEC"
"MBRG_nasdaq","Commercial Banks"
"MSEX_nasdaq","Water Supply &amp; Irrigation Systems"
"MOFG_nasdaq","Commercial Banks"
"MNDO_nasdaq","IT Services &amp; Consulting - NEC"
"MSPD_nasdaq","Semiconductors - NEC"
"MSON_nasdaq","Advanced Medical Equipment &amp; Technology - NEC"
"MIND_nasdaq","Oil Related Services and Equipment - NEC"
"MITK_nasdaq","Computer Peripherals"
"MITL_nasdaq","Enterprise Software"
"MKSI_nasdaq","Testing &amp; Measuring Equipment"
"MINI_nasdaq","Business Support Supplies - NEC"
"MOCO_nasdaq","Testing &amp; Measuring Equipment"
"MPAC_nasdaq","Paper Packaging - NEC"
"MLNK_nasdaq","IT Services &amp; Consulting - NEC"
"MOLX_nasdaq","Electrical Components &amp; Equipment - NEC"
"MOLXA_nasdaq","Electrical Components &amp; Equipment - NEC"
"MNTA_nasdaq","Biotechnology &amp; Medical Research - NEC"
"MCRI_nasdaq","Casinos"
"MNRK_nasdaq","Banks - NEC"
"MDLZ_nasdaq","Food Processing - NEC"
"MPWR_nasdaq","Semiconductors - NEC"
"TYPE_nasdaq","IT Services &amp; Consulting - NEC"
"MNRO_nasdaq","Auto Vehicles, Parts &amp; Service Retailers - NEC"
"MRCC_nasdaq","Corporate Financial Services - NEC"
"MNST_nasdaq","Energy Drinks"
"MHGC_nasdaq","Hotels &amp; Motels"
"MORN_nasdaq","Professional Information Services - NEC"
"MOSY_nasdaq","Semiconductors - NEC"
"MPAA_nasdaq","Auto, Truck &amp; Motorcycle Parts - NEC"
"MOVE_nasdaq","Real Estate Services - NEC"
"MSBF_nasdaq","Retail &amp; Mortgage Banks"
"MNTG_nasdaq","Casinos &amp; Gaming - NEC"
"MTSC_nasdaq","Electrical Components &amp; Equipment - NEC"
"MBND_nasdaq","Wired Telecommunications Carriers"
"LABL_nasdaq","Commercial Printing Services - NEC"
"MFLX_nasdaq","Integrated Circuits"
"MGAM_nasdaq","Gambling &amp; Gaming Machine Manufacturers"
"MFSF_nasdaq","Commercial Banks"
"MWIV_nasdaq","Veterinary Drugs"
"MYL_nasdaq","Pharmaceuticals - NEC"
"MYRG_nasdaq","Business Support Services - NEC"
"MYGN_nasdaq","Medical Diagnostic &amp; Testing Equipment"
"NANO_nasdaq","Testing &amp; Measuring Equipment"
"NSPH_nasdaq","Advanced Medical Equipment &amp; Technology - NEC"
"NSSC_nasdaq","Security &amp; Surveillance"
"NASB_nasdaq","Retail &amp; Mortgage Banks"
"QQQX_nasdaq","Closed End Funds"
"NAFC_nasdaq","Food Processing - NEC"
"NATH_nasdaq","Restaurants &amp; Bars - NEC"
"NAUH_nasdaq","General Education Services"
"NKSH_nasdaq","Commercial Banks"
"FIZZ_nasdaq","Non-Alcoholic Beverages - NEC"
"NCMI_nasdaq","Advertising Agency"
"NATI_nasdaq","Software - NEC"
"NATL_nasdaq","Property &amp; Casualty Insurance - NEC"
"NPBC_nasdaq","Commercial Banks"
"NRCI_nasdaq","Business Support Services - NEC"
"NSEC_nasdaq","Life Insurance"
"NTSC_nasdaq","Aerospace &amp; Defense - NEC"
"NWLI_nasdaq","Life Insurance"
"NAII_nasdaq","Pharmaceuticals - NEC"
"NATR_nasdaq","Special Foods &amp; Welbeing Products"
"BABY_nasdaq","Advanced Medical Equipment &amp; Technology - NEC"
"NAVR_nasdaq","Software - NEC"
"NBTF_nasdaq","Banks - NEC"
"NBTB_nasdaq","Banks - NEC"
"NCIT_nasdaq","IT Services &amp; Consulting - NEC"
"NKTR_nasdaq","Biotechnology &amp; Medical Research - NEC"
"NEOG_nasdaq","Medical Equipment, Supplies &amp; Distribution - NEC"
"NEO_nasdaq","Healthcare Facilities &amp; Services - NEC"
"NEON_nasdaq","Electronic Repair Services"
"NEPT_nasdaq","Biotechnology &amp; Medical Research - NEC"
"UEPS_nasdaq","Transaction &amp; Payment Services"
"NETC_nasdaq","Broadcasting - NEC"
"NTAP_nasdaq","IT Services &amp; Consulting - NEC"
"NTES_nasdaq","IT Services &amp; Consulting - NEC"
"NFLX_nasdaq","Internet Services - NEC"
"NTGR_nasdaq","Broadcasting Equipment"
"NLST_nasdaq","Semiconductors - NEC"
"NTCT_nasdaq","IT Services &amp; Consulting - NEC"
"NTWK_nasdaq","IT Services &amp; Consulting - NEC"
"NTSP_nasdaq","Consumer Lending - NEC"
"NBIX_nasdaq","Bio Therapeutic Drugs"
"NURO_nasdaq","Medical Equipment, Supplies &amp; Distribution - NEC"
"IQNT_nasdaq","Internet Security &amp; Transactions Services"
"NCBC_nasdaq","Commercial Banks"
"NHTB_nasdaq","Retail &amp; Mortgage Banks"
"NYMT_nasdaq","Mortgage REITs"
"NBBC_nasdaq","Banks - NEC"
"NEWL_nasdaq","Deep Sea Freight"
"NLNK_nasdaq","Biopharmaceuticals"
"NFSB_nasdaq","Commercial Banks"
"NEWP_nasdaq","Scientific &amp; Precision Equipment"
"NWS_nasdaq","Consumer Publishing - NEC"
"NWSA_nasdaq","Consumer Publishing - NEC"
"NEWS_nasdaq","Corporate Financial Services - NEC"
"NEWT_nasdaq","Transaction &amp; Payment Services"
"NXST_nasdaq","Television Broadcasting"
"NFEC_nasdaq","Industrial Valve Manufacturing"
"NGPC_nasdaq","Closed End Funds"
"EGOV_nasdaq","Internet Services - NEC"
"NICE_nasdaq","Software - NEC"
"NICK_nasdaq","Consumer Leasing"
"NIHD_nasdaq","Wireless Telecommunications Services - NEC"
"NINE_nasdaq","Software - NEC"
"NNBR_nasdaq","Ball &amp; Roller Bearings"
"NDSN_nasdaq","Industrial Machinery"
"NSYS_nasdaq","Semiconductors - NEC"
"NTK_nasdaq","Household Electronics - NEC"
"NOVB_nasdaq","Banks - NEC"
"NBN_nasdaq","Banks - NEC"
"NECB_nasdaq","Banks - NEC"
"NTIC_nasdaq","Purification &amp; Treatment Equipment"
"NTRS_nasdaq","Investment Management &amp; Fund Operators - NEC"
"NRIM_nasdaq","Commercial Banks"
"NWBI_nasdaq","Banks - NEC"
"NWBO_nasdaq","Bio Therapeutic Drugs"
"NWPX_nasdaq","Steel - NEC"
"NCLH_nasdaq","Cruise Lines"
"NWFL_nasdaq","Commercial Banks"
"NVMI_nasdaq","Semiconductors - NEC"
"NVDQ_nasdaq","Medical Imaging Systems"
"NVTL_nasdaq","Communications &amp; Networking - NEC"
"NVAX_nasdaq","Biotechnology &amp; Medical Research - NEC"
"NVGN_nasdaq","Biotechnology &amp; Medical Research - NEC"
"NPSP_nasdaq","Bio Therapeutic Drugs"
"NUAN_nasdaq","Software - NEC"
"NMRX_nasdaq","Phones &amp; Smart Phones"
"PATH_nasdaq","Pharmaceuticals - NEC"
"NUTR_nasdaq","Special Foods &amp; Welbeing Products"
"NTRI_nasdaq","Commercial Food Services"
"NUVA_nasdaq","Medical Equipment, Supplies &amp; Distribution - NEC"
"NVEEU_nasdaq","Business Support Services - NEC"
"NVEC_nasdaq","Electronic Component"
"NVDA_nasdaq","Semiconductors - NEC"
"NXPI_nasdaq","Semiconductors - NEC"
"NXTM_nasdaq","Medical Imaging Systems"
"NYMX_nasdaq","Biotechnology &amp; Medical Research - NEC"
"OIIM_nasdaq","Integrated Circuits"
"BKOR_nasdaq","Banks - NEC"
"OVLY_nasdaq","Banks - NEC"
"OBAF_nasdaq","Banks - NEC"
"OMPI_nasdaq","Generic Pharmaceuticals"
"OBCI_nasdaq","Commercial Fishing"
"OPTT_nasdaq","Electric Utilities - NEC"
"ORIG_nasdaq","Oil &amp; Gas Drilling - NEC"
"OSHC_nasdaq","Retail &amp; Mortgage Banks"
"OCFC_nasdaq","Commercial Banks"
"OCLR_nasdaq","Glasses, Spectacles &amp; Contact lenses"
"OFED_nasdaq","Banks - NEC"
"OCLS_nasdaq","Biopharmaceuticals"
"OCZ_nasdaq","Computer Hardware - NEC"
"OMEX_nasdaq","Business Support Services - NEC"
"OPAY_nasdaq","Transaction &amp; Payment Services"
"OFS_nasdaq","Closed End Funds"
"OVBC_nasdaq","Banks - NEC"
"ODFL_nasdaq","Freight Trucking"
"OLBK_nasdaq","Banks - NEC"
"OPOF_nasdaq","Commercial Banks"
"OSBC_nasdaq","Commercial Banks"
"ZEUS_nasdaq","Steel - NEC"
"OFLX_nasdaq","Industrial Valve Manufacturing"
"OMER_nasdaq","Bio Therapeutic Drugs"
"OABC_nasdaq","Banks - NEC"
"OMCL_nasdaq","Medical Software &amp; Technology Services"
"OVTI_nasdaq","Semiconductors - NEC"
"OMTH_nasdaq","Specialty &amp; Advanced Pharmaceuticals"
"ONNN_nasdaq","Semiconductors - NEC"
"OTIV_nasdaq","Processors"
"OGXI_nasdaq","Biotechnology &amp; Medical Research - NEC"
"ONCY_nasdaq","Biotechnology &amp; Medical Research - NEC"
"ONTY_nasdaq","Bio Therapeutic Drugs"
"ONFC_nasdaq","Banks - NEC"
"ONVI_nasdaq","Professional Information Services - NEC"
"ONXX_nasdaq","Bio Therapeutic Drugs"
"OTEX_nasdaq","Enterprise Software"
