FloatShares,Ticker,Price,52 week high,52 week low,avg Daily Volume,50 day Moving Average,200 day moving average,price/eps estimate this year,price/eps estimate next year,Short Ratio
    23084000,FLWS_nasdaq,6.49,2.77,7.17,153606,6.4983,5.9638,29.50,24.04,3.50
     6312000,FCTY_nasdaq,6.97,4.50,8.46,10897,6.4667,6.0241,8.30,18.34,2.10
     4263000,FCCY_nasdaq,9.79,7.55,9.93,4232,9.5397,9.0905,9.99,9.32,0.50
    13297000,SRCE_nasdaq,27.27,19.70,28.82,27649,25.8806,24.2105,N/A,N/A,4.80
    23951000,FUBC_nasdaq,7.81,5.30,8.25,57634,7.3683,6.6396,32.54,21.11,10.10
    43159000,VNET_nasdaq,13.68,8.39,14.68,418561,12.404,10.2812,31.81,18.74,4.80
N/A,SSRX_nasdaq,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
     9718000,JOBS_nasdaq,67.50,35.01,70.04,73572,64.7314,61.4392,24.64,20.27,1.80
    64381000,EGHT_nasdaq,9.33,5.62,9.48,728315,8.7078,7.8345,35.88,27.44,6.40
     4711000,AVHI_nasdaq,15.93,11.34,18.26,49109,16.8543,14.5479,N/A,N/A,8.10
    28683000,SHLM_nasdaq,27.01,22.10,33.40,143895,27.4514,29.0682,15.70,12.92,4.10
    27983000,AAON_nasdaq,23.20,11.9533,26.91,128871,23.0028,19.5026,26.36,22.75,7.90
    45459000,ASTM_nasdaq,0.55,0.33,1.87,466088,0.4311,0.6022,N/A,N/A,9.00
    20951000,ABAX_nasdaq,40.93,33.28,51.84,139143,46.6839,45.0172,44.49,32.74,26.50
    32336000,ABMD_nasdaq,22.05,11.80,25.25,364029,23.02,20.806,157.50,36.15,17.10
    78639000,AXAS_nasdaq,2.49,1.56,2.66,568026,2.3003,2.2908,20.75,9.58,12.20
    43060000,ACTG_nasdaq,22.22,19.86,32.59,687268,23.3994,25.7633,14.52,8.89,4.20
    36430000,ACHC_nasdaq,38.21,17.01,38.90,352060,34.9428,31.1381,37.10,28.30,11.40
    49340000,ACAD_nasdaq,20.39,1.50,21.85,3247080,18.9797,14.6331,N/A,N/A,2.70
    28803000,ACST_nasdaq,3.8219,1.61,4.20,21238,3.3311,2.6574,N/A,N/A,3.40
    19015000,AXDX_nasdaq,7.70,2.75,9.22,92243,8.2408,6.8927,N/A,N/A,10.10
    49055000,ACCL_nasdaq,9.17,7.59,9.98,164494,8.6872,8.933,28.66,25.47,9.60
     6429000,ANCX_nasdaq,15.36,10.90,18.07,26512,14.1614,14.171,12.39,13.84,6.70
    63271000,ARAY_nasdaq,6.03,3.76,7.44,944858,5.9134,5.2568,N/A,N/A,17.90
           0,ACRX_nasdaq,11.49,2.27,13.50,662162,11.0966,7.3685,N/A,N/A,4.60
    25821000,ACET_nasdaq,16.01,8.25,16.55,172648,14.5469,11.9092,18.19,15.54,2.50
    75901000,ACHN_nasdaq,6.81,5.42,11.36,1265760,7.1689,7.5559,N/A,N/A,7.40
    39310000,ACIW_nasdaq,48.54,37.97,51.88,232363,47.0231,46.3349,20.83,15.56,14.00
     5830000,ACNB_nasdaq,16.99,14.20,17.74,3163,16.8842,16.6896,N/A,N/A,2.00
    39339000,ACOR_nasdaq,34.95,21.33,40.87,337262,36.0517,34.6805,151.96,49.93,9.40
    15568000,ACFN_nasdaq,7.60,6.16,11.00,94875,8.6781,7.7877,N/A,N/A,36.00
    62948000,ACTS_nasdaq,2.71,1.46,3.40,64634,2.8577,2.909,N/A,N/A,0.50
    13613000,ACPW_nasdaq,3.57,2.90,4.98,71365,4.0419,4.3458,N/A,17.00,2.70
   429200000,ATVI_nasdaq,17.51,10.45,18.43,8580060,15.4489,14.5357,19.67,13.57,1.10
    43864000,BIRT_nasdaq,7.23,4.97,7.65,153295,7.075,6.5287,18.54,16.81,4.30
    20115000,ACUR_nasdaq,1.77,1.75,4.50,483135,1.9625,2.172,N/A,14.75,0.70
    72315000,ACXM_nasdaq,25.91,16.12,26.47,432489,24.5978,22.0303,34.55,32.80,4.10
     9063000,ADES_nasdaq,42.59,13.88,44.62,85269,41.3994,31.6444,67.60,11.57,6.10
     5758000,ADUS_nasdaq,21.93,4.20,23.71,184973,20.3626,14.3696,23.33,21.29,2.50
     4588000,AEY_nasdaq,2.58,1.87,2.92,23758,2.3789,2.3231,N/A,N/A,0.30
     8497000,ADEP_nasdaq,3.52,2.38,4.69,44769,3.6456,3.4173,N/A,N/A,1.80
   469001000,ADBE_nasdaq,47.10,31.00,48.63,3425070,46.8258,44.9441,32.48,27.38,1.40
    58765000,ADTN_nasdaq,26.25,15.38,27.03,744534,25.3836,22.472,38.04,26.79,6.50
    36439000,AEIS_nasdaq,21.00,10.80,22.94,374631,20.0403,18.8117,17.36,12.07,3.50
    33069000,ADVS_nasdaq,27.34,20.85,36.21,287349,31.2572,28.9845,21.70,20.40,3.60
    24396000,AEGR_nasdaq,89.51,12.87,97.46,722981,75.4223,51.009,N/A,67.81,4.80
