    37374000,AFFY_nasdaq,0.98,0.78,27.74,5531380,1.1512,6.5654,N/A,N/A,2.30
    53982000,AFFX_nasdaq,5.19,2.96,5.26,661054,4.0609,3.9501,N/A,64.88,27.20
    21868000,AGEN_nasdaq,3.69,3.37,5.40,286605,3.8118,4.1664,N/A,N/A,11.70
    12559000,AGYS_nasdaq,11.57,7.23,14.24,62067,12.2576,10.4348,144.62,144.62,4.10
    35058000,AIRM_nasdaq,36.48,31.21,50.61,643149,36.5068,40.9961,18.80,13.08,14.60
     1598000,AIRT_nasdaq,10.35,7.76,10.50,4235,10.1388,9.5123,N/A,N/A,1.10
    45520000,ATSG_nasdaq,6.62,3.38,6.85,168162,6.3771,5.5147,9.59,7.98,7.20
    26520000,AMCN_nasdaq,1.79,1.33,2.59,59813,1.8068,1.9665,N/A,19.89,0.10
    93433000,AIXG_nasdaq,16.29,11.21,18.06,173325,16.7353,14.5387,N/A,101.81,5.10
   172031000,AKAM_nasdaq,44.50,27.86,48.47,2533730,43.6938,40.2001,22.82,20.14,4.20
    70788000,AKRX_nasdaq,14.20,11.73,16.42,581797,13.8426,13.8384,25.82,17.97,19.20
    45813000,ALSK_nasdaq,1.78,1.55,2.50,333168,1.7459,1.7611,6.59,8.48,0.40
    18405000,AMRI_nasdaq,13.35,2.64,13.82,492649,11.7515,9.4007,21.89,23.02,3.20
     2382000,ALCS_nasdaq,10.8166,6.18,11.24,15891,10.2231,8.6364,N/A,N/A,23.90
   192779000,ALXN_nasdaq,101.44,81.82,125.65,1615010,94.7906,95.02,34.27,30.83,3.10
    14375000,ALXA_nasdaq,4.46,2.91,6.65,416700,4.4512,4.5206,N/A,N/A,8.90
     2463000,ALCO_nasdaq,43.78,26.37,47.00,13759,43.8938,42.9342,17.72,40.54,14.30
    63301000,ALGN_nasdaq,39.40,23.45,39.81,912151,36.4809,32.9269,33.11,27.17,7.80
     3414000,ALIM_nasdaq,5.01,1.26,5.69,135424,4.7988,3.2366,N/A,N/A,2.00
   133386000,ALKS_nasdaq,30.09,17.00,34.30,1728320,29.8315,25.7069,N/A,N/A,3.70
    14023000,ALGT_nasdaq,100.47,61.63,109.72,108354,100.823,87.7128,19.14,15.97,10.50
     3447000,ALLB_nasdaq,14.38,12.01,14.72,2184,13.9621,13.3601,N/A,N/A,4.60
     5759000,AFOP_nasdaq,30.10,8.60,32.34,163770,23.0397,15.7572,18.24,15.68,1.00
     4267000,AIQ_nasdaq,16.59,3.60,16.95,50938,15.8026,10.2326,N/A,N/A,1.00
           0,AHGP_nasdaq,63.23,42.15,66.27,63625,62.2032,55.2861,17.81,17.37,3.20
    20772000,ARLP_nasdaq,73.77,52.21,78.50,80562,71.6729,66.8786,11.67,11.25,3.90
     4453000,AHPI_nasdaq,2.88,2.44,3.33,2017,2.6579,2.6888,N/A,N/A,1.00
     4611000,AMOT_nasdaq,7.05,5.70,7.24,7010,6.8894,6.9047,N/A,N/A,0.30
    27768000,ALLT_nasdaq,13.23,10.75,29.05,461733,12.5512,13.0983,37.80,20.35,4.40
   154495000,MDRX_nasdaq,15.05,8.84,15.55,2538560,13.53,12.5454,30.10,21.81,1.70
     8182000,AFAM_nasdaq,19.22,17.66,23.99,41356,19.5335,19.9897,15.88,16.57,12.60
    52507000,ALNY_nasdaq,43.525,13.32,51.00,560219,32.34,25.7225,N/A,N/A,7.50
    17652000,AOSL_nasdaq,7.88,6.64,10.45,137943,7.7559,8.2812,N/A,N/A,1.40
    61107000,ATEC_nasdaq,2.18,1.41,2.32,198197,2.0232,1.8957,N/A,72.67,3.90
           0,ASDR_nasdaq,49.53,50.33,50.97,1455,50.4455,50.4455,N/A,N/A,N/A
           0,EMDR_nasdaq,42.86,49.30,52.83,5918,50.6545,50.6545,N/A,N/A,N/A
           0,RUDR_nasdaq,47.72,47.82,52.00,5673,50.1836,50.1836,N/A,N/A,N/A
     4567000,ALTI_nasdaq,2.30,2.02,5.04,12182,2.3297,2.2531,N/A,N/A,4.70
   319003000,ALTR_nasdaq,34.50,29.59,38.80,3166270,32.9388,33.8408,24.13,19.49,1.40
N/A,ALTE_nasdaq,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
    12148000,ASPS_nasdaq,96.52,66.97,129.72,203635,95.4868,86.5467,16.64,11.66,1.40
     1368000,APSA_nasdaq,17.50,12.15,18.25,2295,16.3076,15.6951,N/A,N/A,1.60
    25888000,AIMC_nasdaq,30.74,14.64,31.34,142960,27.9794,26.1661,16.89,14.17,8.00
     5912000,ALVR_nasdaq,0.4499,0.44,6.10,165556,1.4247,3.3371,N/A,N/A,0.10
    15592000,AMAG_nasdaq,23.74,13.85,25.67,133619,21.2809,19.9155,N/A,N/A,5.00
   141996000,AMRN_nasdaq,5.35,5.22,15.96,3949980,6.3253,7.4482,N/A,N/A,6.40
   367608000,AMZN_nasdaq,299.66,213.96,307.55,3101320,277.354,267.31,230.51,94.23,2.90
    16041000,AMBA_nasdaq,17.80,5.55,18.58,1051120,16.8288,13.6049,20.94,16.18,0.70
    10982000,EPAX_nasdaq,3.45,3.17,5.75,59813,3.5479,4.0832,N/A,N/A,3.00
     3122000,AMBT_nasdaq,3.30,1.53,3.65,33816,2.3618,2.536,N/A,N/A,3.00
    49532000,AMCX_nasdaq,68.67,37.47,70.65,525190,65.1576,61.2993,20.94,17.74,1.90
    30469000,AMED_nasdaq,11.08,8.81,15.95,422894,12.1831,11.4891,22.61,22.61,12.80
     5944000,UHAL_nasdaq,172.26,87.26,182.77,54227,170.103,156.922,12.09,N/A,6.30
     2463000,ASBI_nasdaq,10.45,5.61,11.50,1511,10.2088,9.1256,N/A,N/A,0.40
    42583000,ATAX_nasdaq,6.70,5.33,7.35,135643,6.7768,6.9844,N/A,N/A,0.40
  1391004000,AMOV_nasdaq,21.27,18.00,27.50,7346,20.1768,21.5311,N/A,N/A,0.50
   395440000,AGNC_nasdaq,22.655,20.20,36.77,10295200,24.0644,29.7422,N/A,N/A,0.70
   395440000,AGNCP_nasdaq,25.05,24.13,27.42,44102,25.4365,26.1488,N/A,N/A,N/A
    58532000,MTGE_nasdaq,17.85,16.01,26.71,1506360,19.3097,23.8831,6.01,5.93,0.80
   291105000,ACAS_nasdaq,13.40,9.50,15.24,3144770,12.9829,13.665,13.40,11.55,0.60
     3107000,ANCI_nasdaq,1.90,1.38,2.10,6741,1.8829,1.8773,N/A,N/A,0.50
     4168000,AETI_nasdaq,8.66,4.01,8.95,38924,6.8085,5.6423,13.12,11.25,0.40
     1567000,AMIC_nasdaq,7.98,3.67,8.22,3216,7.1606,6.2751,N/A,N/A,1.70
     7500000,AMNB_nasdaq,23.99,18.50,24.35,16616,22.7991,21.243,12.97,15.68,21.10
     3340000,ANAT_nasdaq,105.55,63.68,108.00,21481,100.125,87.8408,N/A,N/A,5.30
     5015000,APFC_nasdaq,30.05,8.60,30.40,53295,27.8576,23.0951,12.73,12.07,0.90
    16845000,APEI_nasdaq,40.21,24.88,40.59,140184,38.6679,36.5563,15.23,13.91,13.90
     9426000,ARII_nasdaq,31.98,24.80,47.10,317757,32.7282,37.4539,9.14,7.78,5.30
   138057000,ARCP_nasdaq,14.98,10.38,18.05,3605040,14.9868,14.8831,16.46,13.14,0.60
     6747000,AMRB_nasdaq,8.68,6.21,9.53,11982,8.4103,7.6801,29.93,27.13,1.40
     7947000,ASEI_nasdaq,61.08,54.44,70.00,35395,58.8047,62.0732,25.03,23.31,7.40
    24028000,AMSWA_nasdaq,8.97,7.16,9.05,38454,8.575,8.4004,22.43,18.69,11.60
    45445000,AMSC_nasdaq,2.64,2.12,4.60,635652,2.5303,2.6653,N/A,N/A,6.30
    11638000,AMWD_nasdaq,38.98,16.27,39.49,127044,35.9215,32.778,25.99,19.20,3.50
     8027000,CRMT_nasdaq,44.16,35.89,50.59,26041,43.8927,44.4961,12.20,10.80,23.60
    22967000,ABCB_nasdaq,17.99,10.21,18.99,59920,16.8417,14.6598,17.13,11.61,35.00
    17885000,AMSF_nasdaq,37.92,22.00,38.43,62810,34.1197,32.227,18.41,14.53,5.10
    15428000,ASRV_nasdaq,2.99,2.66,3.25,26087,3.0206,3.0287,N/A,N/A,9.80
           0,ASRVP_nasdaq,26.99,25.01,30.25,787,26.6426,26.2837,N/A,N/A,N/A
    30251000,ASCA_nasdaq,26.45,15.04,27.18,429038,26.3003,26.3774,13.23,12.13,2.20
     8992000,ATLO_nasdaq,23.02,18.39,23.59,12198,21.9794,21.0742,N/A,N/A,18.70
   749264000,AMGN_nasdaq,103.26,75.70,114.95,3709630,99.2735,96.411,14.16,12.47,2.60
    25619000,FOLD_nasdaq,2.30,2.06,6.89,395132,2.765,3.1465,N/A,N/A,14.40
    60008000,AMKR_nasdaq,4.51,3.55,5.58,910286,4.3638,4.3281,8.35,6.44,25.80
    28236000,AMPE_nasdaq,5.94,2.55,7.17,323152,5.8474,4.7569,N/A,N/A,10.70
