"index","ticker","year","quarter","QuarterHeading","QuarterRange","QuarterCountperRange","DateString","CurrencyHeader","Net Income/Starting Line","Depreciation/Depletion","Amortization","Deferred Taxes","Non-Cash Items","Changes in Working Capital","Cash from Operating Activities","Capital Expenditures","Other Investing Cash Flow Items, Total","Cash from Investing Activities","Financing Cash Flow Items","Total Cash Dividends Paid","Issuance (Retirement) of Stock, Net","Issuance (Retirement) of Debt, Net","Cash from Financing Activities","Foreign Exchange Effects","Net Change in Cash","Cash Interest Paid, Supplemental","Cash Taxes Paid, Supplemental"
"2707","CZR_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","-1181.9509","847.8268","0.0","-786.8268","999.84204","74.35383","-46.754852","-575.5178","824.4607","248.94293","-71.620895","0.0","21.329144","342.17926","291.8875","0.0","494.07556","1839.69","24.628983"
"2715","CSTE_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","51.114624","14.543013","0.0","-0.7461298","2.7138236","-26.349613","41.265827","-17.036911","-28.040491","-45.067505","-3.1798356","-13.850631","39.12115","-5.245132","16.840458","-2.5249968","10.503891","0.0","0.0"
"2723","PRSS_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","-5.678472","7.5572276","4.461257","-1.3014926","1.50486","-10.189071","-3.6408968","-9.398718","-12.296305","-21.71001","-2.988868","0.0","21.487865","-0.46219835","18.036798","0.0","-7.309012","0.19093421","2.2732353"
"2731","CLMS_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","103.49129","5.1117687","0.0","9.624352","-4.3772473","-11.0412445","102.80413","-1.481332","-40.655304","-42.141426","-70.53604","-9.269659","-7.981803","0.0","-87.787506","0.0","-27.12481","5.9794865","2.8588727"
"2739","CHY_nasdaq","2013","-1","6 months ending 2013-04-30","days","365.7558","2013-04-30","In Millions of USD (except for per share items)","124.03493","0.0","0.0","0.0","-89.88423","0.14378472","34.289413","0.0","0.0","0.0","-0.15539937","-73.69685","0.0","39.562843","-34.289413","0.0","0.0","3.6106498","0.0"
"2747","CAMP_nasdaq","2013","-1","26 weeks ending 2013-08-31","days","366.0","2013-08-31","In Millions of USD (except for per share items)","26.4175","5.4846153","0.0","-12.289918","3.1321979","-1.6279125","21.106483","-1.7546978","-70.79388","-72.54858","-3.0584617","0.0","24.837034","3.0678573","24.84643","0.0","-26.595655","0.13074175","0.08065934"
"2755","CVGW_nasdaq","2013","-1","9 months ending 2013-07-31","days","365.67056","2013-07-31","In Millions of USD (except for per share items)","12.81992","6.441864","0.0","-0.2089315","2.5086222","-7.363569","14.195358","-6.688807","0.15032879","-6.5384784","0.0076438356","-14.865333","-5.2222643","13.142939","-6.937013","0.0","0.7297919","0.2930137","2.3619456"
"2763","CFNB_nasdaq","2013","2","12 months ending 2013-06-30","days","366.2498","2013-06-30","In Millions of USD (except for per share items)","7.36989","-0.6814964","0.0","-5.501752","-1.0538685","1.6394526","1.7822262","0.0","-53.381863","-53.381863","93.05858","-23.063868","0.16058394","0.0","70.1553","0.0","18.555656","0.0","12.263649"
"2771","CALD_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","-26.99332","3.6717615","4.9774694","0.22060633","13.009864","6.5863214","1.4825919","-8.269806","11.213156","2.9433503","-4.401846","0.0","3.1292558","-1.660223","-2.932813","-0.11838745","1.3798376","5.8348165","0.0"
"2779","CALM_nasdaq","2013","-1","13 weeks ending 2013-08-31","days","366.0","2013-08-31","In Millions of USD (except for per share items)","47.248898","34.705246","0.0","0.0","0.0","-46.860546","35.101154","-31.32195","-27.108433","-58.43038","0.0","-23.057693","0.50708795","-11.191539","-33.74214","0.0","-57.06137","2.6744504","32.23695"
"2788","CLMT_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","158.05487","104.87141","0.0","0.0","10.946175","-45.846703","228.02066","-99.889534","-420.08066","-519.97015","6.015045","-162.81604","454.7981","139.8887","437.8858","0.0","145.93121","33.744987","0.36690414"
"2796","ABCD_nasdaq","2013","2","26 weeks ending 2013-06-30","days","367.0","2013-06-30","In Millions of USD (except for per share items)","-76.962585","26.15231","0.0","-0.08175824","68.30928","-1.2489011","16.178297","-17.195549","-7.495","-24.700493","0.0","0.0","-1.5672526","-1.2786813","-2.8507695","0.0","-11.368133","8.906539","0.23505495"
"2804","CAFI_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","8.697212","1.3560197","0.0101917805","-5.836422","-0.11002439","5.461534","9.568621","-1.1899406","-12.647465","-13.837405","-21.227852","0.0","4.7799454","0.0","-16.44281","0.0","-20.71669","0.0","0.015287671"
"2812","CAC_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","23.798634","5.1695633","0.9000993","0.0","-1.0851461","6.1057467","34.883804","-2.3161547","-56.23767","-58.54394","87.22418","-7.845051","-1.0980251","-58.207623","20.07349","0.0","-3.5818539","0.0","8.58197"
"2829","CPHC_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","0.9945349","1.7822459","0.0","0.38332915","0.23019597","0.31059283","3.7107892","-3.9335814","0.00989071","-3.9236908","0.015287671","-1.0548493","0.14178172","0.0","-0.89777994","0.0","-1.110681","0.0","1.0365063"
"2837","CBNJ_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","5.389846","2.1649728","0.0","2.6613817","1.3102014","-0.80752563","10.714082","-0.86296725","-0.9176512","-1.7806177","-2.961628","-1.6215191","-4.3393126","0.0","-8.912569","0.0","0.015800595","0.0","-1.8810636"
"2845","CPLA_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","37.46337","28.356846","0.0","-1.8638917","22.319265","-12.128342","74.14245","-22.060558","5.4543095","-16.60115","0.10490621","0.0","-27.474432","0.0","-27.379416","-0.03416588","30.122623","0.0","30.38036"
"2853","CBF_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","44.896805","19.463715","0.0","1.2574577","-126.78997","7.999555","-53.18234","-8.792295","322.46414","313.67184","-736.3274","0.0","-49.43377","-34.12295","-819.89404","0.0","-559.3947","0.0","10.074073"
"2861","CCBG_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","1.7176942","6.649412","0.33781183","0.111005545","7.1927657","32.789917","48.788715","-2.34789","56.652363","54.299377","-87.08658","0.0","1.1614504","-3.6633317","-89.59355","0.0","13.494545","0.0","-2.223269"
"2869","CPLP_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","52.82875","48.987755","0.0","0.0","17.863783","3.1084266","122.79381","-129.39967","5.976075","-123.4236","-3.581173","-78.4194","145.60193","-37.2156","26.390827","0.0","25.755945","13.177973","0.0"
"2877","CSWC_nasdaq","2013","2","3 months ending 2013-06-30","days","366.50085","2013-06-30","In Millions of USD (except for per share items)","89.63794","0.03260274","0.0","-0.067808226","-29.648083","0.5834247","60.53808","0.0","0.0","0.0","-0.8438356","-62.042603","3.45863","0.0","-59.427807","0.0","1.1102743","0.0","0.44452053"
"2886","CFFN_nasdaq","2013","2","9 months ending 2013-06-30","days","366.00143","2013-06-30","In Millions of USD (except for per share items)","72.060326","5.226707","0.0","1.5516987","21.651241","0.87469697","101.36722","-13.976092","117.28039","103.29431","68.519295","-151.87146","-126.43494","0.0","-209.78455","0.0","-5.1230116","0.0","33.007324"
"2894","CPST_nasdaq","2013","2","3 months ending 2013-06-30","days","366.50085","2013-06-30","In Millions of USD (except for per share items)","-23.79726","2.7246575","0.0","0.0","8.306438","-16.014795","-28.770958","-1.1716439","0.0","-1.1716439","0.0","0.0","3.1269865","1.22","4.3469863","0.0","-25.605616","0.59452057","0.55219173"
